2022-04-24 14:07:57 [INFO] ...ouise/.local/share/nvim/plugged/nvim-gdb/lua/nvimgdb.lua:23: 	"New session gdb"
2022-04-24 14:07:57 [INFO] ...local/share/nvim/plugged/nvim-gdb/lua/nvimgdb/client.lua:30: 	"termwin_command"	"belowright new"
2022-04-24 14:07:57 [INFO] ...ouise/.local/share/nvim/plugged/nvim-gdb/lua/nvimgdb.lua:26: 	{ "Tabpage", 1 }
2022-04-24 14:07:57 [INFO] ...ouise/.local/share/nvim/plugged/nvim-gdb/lua/nvimgdb.lua:31: 	"Calling nvimgdb#GlobalInit()"
2022-04-24 14:07:57 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"Reading symbols from \27[32mmain\27[m...\r"
2022-04-24 14:07:57 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	""
2022-04-24 14:07:57 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"\27[?2004h(gdb) \26\26\26"
2022-04-24 14:07:57 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:155: 	"prev state: running"
2022-04-24 14:07:57 [INFO] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:105: 	"_query_b"
2022-04-24 14:07:57 [INFO] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:157: 	"new state: paused"
2022-04-24 14:08:17 [DEBUG] ...local/share/nvim/plugged/nvim-gdb/lua/nvimgdb/client.lua:88: 	{ "send_line", "break /home/louise/Code/exercises/18. emprunts de livres/main.c:58" }
2022-04-24 14:08:17 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"break /home/louise/Code/exercises/18. emprunts de livres/main.c:58\r"
2022-04-24 14:08:17 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"\27[?2004l\rBreakpoint 1 at \27[34m0x1820\27[m: file \27[32m/home/louise/Code/exercises/18. emprunts de livres/main.c\27[m, line 58.\r"
2022-04-24 14:08:17 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"\27[?2004h(gdb) \26\26\26\27[K"
2022-04-24 14:08:17 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:155: 	"prev state: paused"
2022-04-24 14:08:17 [INFO] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:105: 	"_query_b"
2022-04-24 14:08:17 [INFO] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:157: 	"new state: paused"
2022-04-24 14:08:34 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"r"
2022-04-24 14:08:34 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"u"
2022-04-24 14:08:34 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"n"
2022-04-24 14:08:34 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	" "
2022-04-24 14:08:34 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"<"
2022-04-24 14:08:34 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	" "
2022-04-24 14:08:35 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"i"
2022-04-24 14:08:35 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"n"
2022-04-24 14:08:35 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"p"
2022-04-24 14:08:35 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"u"
2022-04-24 14:08:35 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"t"
2022-04-24 14:08:35 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"."
2022-04-24 14:08:35 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"t"
2022-04-24 14:08:36 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"c"
